,waiting,duration
268,48,4.0
269,89,2.75
270,63,4.7333333
271,84,3.9666667
272,76,1.95
273,62,4.9666667
274,83,1.85
275,50,4.8
276,85,4.0
277,78,4.0
278,78,4.0
279,81,4.0
280,78,4.0
281,76,4.0
282,74,4.0
283,81,2.0
284,66,4.0
285,84,1.9333333
286,48,4.3333333
287,93,1.6666667000000002
288,47,4.7666667
289,87,1.95
290,51,4.6833333
291,78,1.9333333
292,54,4.4166667
293,87,2.1333333
294,52,4.0833333
295,85,2.0666667000000003
296,58,4.0
297,88,4.0
298,79,2.0
